0.838306	0
0.837234	0.0204
0.836756	0.0408
0.837023	0.0612
0.837919	0.0816
0.83935	0.102
0.879437	0.1224
0.904091	0.1428
0.916192	0.1632
0.918724	0.1836
0.921276	0.204
0.923994	0.2244
0.926926	0.2448
0.930141	0.2652
0.933666	0.2856
0.937441	0.306
0.941156	0.3264
0.944861	0.3468
0.948636	0.3672
0.952432	0.3876
0.956095	0.408
0.959882	0.4284
0.963597	0.4488
0.96708	0.4692
0.970146	0.4896
0.972844	0.51
0.975336	0.5304
0.977541	0.5508
0.979369	0.5712
0.980866	0.5916
0.98205	0.612
0.982649	0.6324
0.982897	0.6528
0.982827	0.6732
0.982207	0.6936
0.981182	0.714
0.979772	0.7344
0.977853	0.7548
0.975633	0.7752
0.973155	0.7956
0.970616	0.816
0.967563	0.8364
0.964269	0.8568
0.960797	0.8772
0.957739	0.8976
0.95465	0.918
0.951408	0.9384
0.947645	0.9588
0.942793	0.9792
0.936595	0.9996
0.928904	1.02
0.920328	1.0404
0.910474	1.0608
0.899641	1.0812
0.88815	1.1016
0.876832	1.122
0.866206	1.1424
0.857498	1.1628
0.851437	1.1832
0.848478	1.2036
0.848596	1.224
0.851682	1.2444
0.857742	1.2648
0.866022	1.2852
0.875565	1.3056
0.88541	1.326
0.895088	1.3464
0.903967	1.3668
0.911869	1.3872
0.918514	1.4076
0.924222	1.428
0.928833	1.4484
0.932213	1.4688
0.934874	1.4892
0.93733	1.5096
0.939862	1.53
0.942499	1.5504
0.945251	1.5708
0.947887	1.5912
0.950449	1.6116
0.952799	1.632
0.954993	1.6524
0.957284	1.6728
0.959468	1.6932
0.961427	1.7136
0.963232	1.734
0.964904	1.7544
0.96616	1.7748
0.967101	1.7952
0.967855	1.8156
0.969455	1.836
0.970455	1.8564
0.970848	1.8768
0.970741	1.8972
0.970142	1.9176
0.969235	1.938
0.968024	1.9584
0.966616	1.9788
0.96503	1.9992
0.963088	2.0196
0.959813	2.04
0.956624	2.0604
0.953485	2.0808
0.950474	2.1012
0.94765	2.1216
0.944857	2.142
0.942052	2.1624
0.939383	2.1828
0.936425	2.2032
0.928587	2.2236
0.909502	2.244
0.875871	2.2644
0.825151	2.2848
0.756756	2.3052
0.671675	2.3256
0.57258	2.346
0.463807	2.3664
0.350869	2.3868
0.240265	2.4072
0.142694	2.4276
0.069263	2.448
0.02667	2.4684
0.036452	2.4888
0.079924	2.5092
0.153114	2.5296
0.248533	2.55
0.355515	2.5704
0.467213	2.5908
0.577443	2.6112
0.68015	2.6316
0.770442	2.652
0.845097	2.6724
0.885002	2.6928
0.909742	2.7132
0.922052	2.7336
0.926733	2.754
0.930164	2.7744
0.933679	2.7948
0.9373	2.8152
0.940979	2.8356
0.944875	2.856
0.94878	2.8764
0.9528	2.8968
0.956579	2.9172
0.960308	2.9376
0.964064	2.958
0.967663	2.9784
0.971131	2.9988
0.974341	3.0192
0.977394	3.0396
0.980216	3.06
0.982779	3.0804
0.985118	3.1008
0.987191	3.1212
0.988968	3.1416
0.990326	3.162
0.991449	3.1824
0.992211	3.2028
0.992596	3.2232
0.992573	3.2436
0.99202	3.264
0.991164	3.2844
0.989943	3.3048
0.988273	3.3252
0.986346	3.3456
0.984192	3.366
0.981838	3.3864
0.97921	3.4068
0.976674	3.4272
0.974344	3.4476
0.972088	3.468
0.96973	3.4884
0.967291	3.5088
0.964829	3.5292
0.961965	3.5496
0.958753	3.57
0.954482	3.5904
0.94922	3.6108
0.942645	3.6312
0.934584	3.6516
0.925291	3.672
0.915138	3.6924
0.904373	3.7128
0.893665	3.7332
0.883942	3.7536
0.875725	3.774
0.869975	3.7944
0.867169	3.8148
0.8674	3.8352
0.870693	3.8556
0.876981	3.876
0.885401	3.8964
0.895274	3.9168
0.905833	3.9372
0.916213	3.9576
0.925901	3.978
0.934569	3.9984
0.941968	4.0188
0.947998	4.0392
0.952792	4.0596
0.956334	4.08
0.959151	4.1004
0.961647	4.1208
0.963857	4.1412
0.966246	4.1616
0.96871	4.182
0.971241	4.2024
0.973817	4.2228
0.976437	4.2432
0.978949	4.2636
0.981155	4.284
0.98323	4.3044
0.985076	4.3248
0.986773	4.3452
0.988164	4.3656
0.989259	4.386
0.989947	4.4064
0.990168	4.4268
0.989992	4.4472
0.989434	4.4676
0.988659	4.488
0.987559	4.5084
0.986142	4.5288
0.984524	4.5492
0.981981	4.5696
0.979275	4.59
0.976331	4.6104
0.973145	4.6308
0.969736	4.6512
0.965978	4.6716
0.962091	4.692
0.958058	4.7124
0.953969	4.7328
0.949841	4.7532
0.946162	4.7736
0.942476	4.794
0.938874	4.8144
0.935225	4.8348
0.931596	4.8552
0.928213	4.8756
0.925045	4.896
0.921614	4.9164
0.913234	4.9368
0.89395	4.9572
0.843317	4.9776
0.775355	4.998
0.690926	5.0184
0.592862	5.0388
0.485334	5.0592
0.373732	5.0796
0.264117	5.1
0.162976	5.1204
0.079896	5.1408
0.04162	5.1612
0.052588	5.1816
0.09697	5.202
0.170907	5.2224
0.266893	5.2428
0.374497	5.2632
0.486705	5.2836
0.597242	5.304
0.700164	5.3244
0.790573	5.3448
0.847491	5.3652
0.887273	5.3856
0.911609	5.406
0.923515	5.4264
0.927775	5.4468
0.930619	5.4672
0.933466	5.4876
0.936364	5.508
0.939395	5.5284
0.94264	5.5488
0.946067	5.5692
0.949489	5.5896
0.952802	5.61
0.956074	5.6304
0.959226	5.6508
0.962286	5.6712
0.965445	5.6916
0.968573	5.712
0.971585	5.7324
0.974396	5.7528
0.977084	5.7732
0.979444	5.7936
0.981733	5.814
0.983838	5.8344
0.98569	5.8548
0.987373	5.8752
0.988534	5.8956
0.989284	5.916
0.989662	5.9364
0.9896	5.9568
0.98928	5.9772
0.98888	5.9976
0.988092	6.018
0.986976	6.0384
0.985568	6.0588
0.983811	6.0792
0.981997	6.0996
0.980174	6.12
0.97826	6.1404
0.97626	6.1608
0.974043	6.1812
0.971608	6.2016
0.96896	6.222
0.966342	6.2424
0.963819	6.2628
0.96147	6.2832
0.958982	6.3036
0.955762	6.324
0.951542	6.3444
0.946223	6.3648
0.939779	6.3852
0.932295	6.4056
0.923678	6.426
0.913958	6.4464
0.903583	6.4668
0.893275	6.4872
0.88429	6.5076
0.877567	6.528
0.873484	6.5484
0.872325	6.5688
0.874124	6.5892
0.878505	6.6096
0.885442	6.63
0.894104	6.6504
0.903914	6.6708
0.913889	6.6912
0.92304	6.7116
0.931127	6.732
0.937961	6.7524
0.943621	6.7728
0.947962	6.7932
0.951389	6.8136
0.954004	6.834
0.956398	6.8544
0.958649	6.8748
0.96098	6.8952
0.96343	6.9156
0.965948	6.936
